city,grnd_level,humidity,pressure,sea_level,temp,temp_max,temp_min,deg,gust,speed,lat,lng
puerto suarez,,78,1019.0,,22.49,23.0,22.0,180.0,,2.1,-19.88053886699025,-58.75541470867094
victoria,,94,1011.0,,25.28,26.0,24.0,,,1.0,-4.20569210582876,51.407702291418275
belmonte,,28,1019.0,,26.75,28.89,25.56,273.0,4.02,1.79,-15.662317133808557,-37.0819663198825
santiago,978.81,96,1013.39,1013.39,21.45,21.45,21.45,196.78,,0.41,-14.423527465576797,-75.79085846362287
havelock,,88,1021.0,,25.03,27.22,23.0,180.0,,3.6,32.89191509711364,-72.10086964369634
isangel,1012.94,86,1012.96,1012.96,23.35,23.35,23.35,145.545,,7.75,-20.821737014639154,170.82565212052884
boguchany,986.96,93,1015.32,1015.32,7.95,7.95,7.95,294.041,,2.98,58.20179596817189,97.38971663542901
ullapool,,70,995.0,,14.11,15.56,12.78,158.0,12.07,4.47,58.90177078464174,-5.217572285277328
sitka,935.87,44,1027.43,1027.43,13.55,13.55,13.55,243.072,,4.17,55.00592889546567,-141.20609612674383
nemuro,1022.46,73,1022.12,1022.12,13.55,13.55,13.55,159.908,,7.23,40.54441349919688,146.10577714055148
atar,990.94,5,1008.14,1008.14,40.95,40.95,40.95,40.879,,9.14,21.094798147141475,-13.57370383106354
praia da vitoria,,100,1023.0,,19.0,19.0,19.0,21.048,,7.19,43.841946066223954,-23.75444043141087
arraial do cabo,,74,1017.0,,27.0,27.0,27.0,80.0,,5.7,-35.23909329273604,-31.308193740483688
tuatapere,,70,1008.0,,13.33,13.33,13.33,318.0,6.26,4.02,-54.99919561018159,160.43166166313915
two hills,925.29,62,999.62,999.62,5.95,5.95,5.95,200.497,,3.19,53.67494450771548,-111.83265268664248
jefferson city,,93,1026.0,,12.76,16.11,10.0,8.877,,1.83,38.36811924378398,-92.58599944269608
mayumba,1008.46,90,1008.19,1008.19,24.25,24.25,24.25,203.014,,1.83,-7.2331155480115825,5.61919816393538
zboriv,985.89,60,1018.97,1018.97,5.15,5.15,5.15,297.712,,2.39,49.65849328557957,25.11785297085953
mount isa,,23,1016.0,,17.0,17.0,17.0,60.148,,3.44,-25.59640647928032,141.14934414004233
lebu,769.44,80,1012.22,1012.22,15.05,15.05,15.05,95.705,,2.9,-29.16580943280436,-88.7982289860207
